goal,url,source,trace_success,trace_skill_id,has_available_operations,n_operations,error_code,error_message,captured_html_bytes,captured_text_bytes,captured_title,captured_api_calls,captured_intent_verdict,captured_intent_reason,filter_rejections,browser_block_signals
get tripadvisor reviews,https://www.tripadvisor.com/Hotel_Review-g60763-d1218720-Reviews-The_Plaza-New_York_City_New_York.html,dom-fallback,True,MTvtE6phrR04KUptyKMra,False,0,,,,,,,,,,
get booking reviews,https://www.booking.com/hotel/us/the-plaza.html,marketplace,True,Q6X2CKgBWdYXjzNyzy0Xd,True,9,,Found 19 endpoint(s). Pick one and call POST /v1/skills/Q6X2CKgBWdYXjzNyzy0Xd/execute with params.endpoint_id.,,,,,,,,
get glassdoor company,https://www.glassdoor.com/Overview/Working-at-OpenAI-EI_IE4373199.htm,live-capture,False,browser-capture,False,0,low_quality_dom_extraction,Structured DOM extraction was rejected for https://www.glassdoor.com/Overview/Working-at-OpenAI-EI_IE4373199.htm: primitive rows only — expected structured records,161570,4950,just a moment...,18,skip,plain_text,"{""body_not_json_or_html"": 2, ""domain_mismatch"": 1, ""not_api_like"": 12, ""score_non_positive"": 3}","[""challenge_title"", ""vendor:cloudflare"", ""sparse_capture_mostly_noise""]"
get indeed jobs,https://www.indeed.com/jobs?q=software+engineer,marketplace,True,i-v2m9acGVEdkIO7gMVqZ,True,3,,Found 6 endpoint(s). Pick one and call POST /v1/skills/i-v2m9acGVEdkIO7gMVqZ/execute with params.endpoint_id.,,,,,,,,
get zillow listing,https://www.zillow.com/homes/for_sale/San-Francisco-CA/,marketplace,True,CNDfJ9Cy0vcFxDXYOsJKx,True,2,,Found 2 endpoint(s). Pick one and call POST /v1/skills/CNDfJ9Cy0vcFxDXYOsJKx/execute with params.endpoint_id.,,,,,,,,
get yelp business,https://www.yelp.com/biz/the-house-san-francisco,marketplace,True,-0BkNYgFd1PoOs0qCevp4,True,1,,Found 1 endpoint(s). Pick one and call POST /v1/skills/-0BkNYgFd1PoOs0qCevp4/execute with params.endpoint_id.,,,,,,,,
get realtor listing,https://www.realtor.com/realestateandhomes-search/San-Francisco_CA,live-capture,False,browser-capture,False,0,no_endpoints,No API endpoints or structured DOM data found at https://www.realtor.com/realestateandhomes-search/San-Francisco_CA. The site may require authentication or may not expose machine-readable data from this page.,1815,324,,4,skip,plain_text,"{""not_api_like"": 1, ""score_non_positive"": 2, ""semantic_entity_mismatch"": 1}","[""sparse_capture_mostly_noise""]"
get kdp product,https://www.amazon.com/dp/B07P8XF4C7,marketplace,True,k9Nijz7A3vEpxQP2NXyTK,True,2,,Found 3 endpoint(s). Pick one and call POST /v1/skills/k9Nijz7A3vEpxQP2NXyTK/execute with params.endpoint_id.,,,,,,,,
get expedia hotel,https://www.expedia.com/San-Francisco-Hotels.d178326.Travel-Guide-Hotels,marketplace,True,VxjBU8yac0h0u73Tm4FAw,True,3,,Found 4 endpoint(s). Pick one and call POST /v1/skills/VxjBU8yac0h0u73Tm4FAw/execute with params.endpoint_id.,,,,,,,,
get kayak flights,https://www.kayak.com/flights/SFO-NYC/2026-05-01,marketplace,True,mRuBte027rcpL3Qk2cqTO,True,3,,Found 16 endpoint(s). Pick one and call POST /v1/skills/mRuBte027rcpL3Qk2cqTO/execute with params.endpoint_id.,,,,,,,,
get polymarket event,https://polymarket.com/event/will-btc-hit-100k,marketplace,True,oFyXbkpDc5l1nDwelRmPG,True,1,,Found 1 endpoint(s). Pick one and call POST /v1/skills/oFyXbkpDc5l1nDwelRmPG/execute with params.endpoint_id.,,,,,,,,
get semanticscholar paper,https://www.semanticscholar.org/paper/Attention-Is-All-You-Need-Vaswani-Shazeer/204e3073870fae3d05bcbc2f6a8e263d9b72e776,marketplace,True,1yIZ09cDBGtNlm1HHJDLC,True,1,,Found 1 endpoint(s). Pick one and call POST /v1/skills/1yIZ09cDBGtNlm1HHJDLC/execute with params.endpoint_id.,,,,,,,,
get google scholar paper,https://scholar.google.com/scholar?q=transformer+attention,marketplace,True,T3QK3DSjyZSkjhFpn-3Q4,True,1,,Found 1 endpoint(s). Pick one and call POST /v1/skills/T3QK3DSjyZSkjhFpn-3Q4/execute with params.endpoint_id.,,,,,,,,
get duckduckgo search,https://duckduckgo.com/?q=unbrowse+ai,dom-fallback,True,Rhi1uwx1EF4bweqbcOpPl,False,0,,,,,,,,,,
get brave search,https://search.brave.com/search?q=unbrowse+ai,marketplace,True,5S6GWlzbi338_mJ93rKf6,True,1,,Found 1 endpoint(s). Pick one and call POST /v1/skills/5S6GWlzbi338_mJ93rKf6/execute with params.endpoint_id.,,,,,,,,
get blockscout tx,https://eth.blockscout.com/tx/0x2bb4d8e1c5a60a65a76e3e17a06f8a3c63d8c3a9f6d35a4e18d5c1e0a1e5e5e5,live-capture,False,browser-capture,False,0,low_quality_dom_extraction,Structured DOM extraction was rejected for https://eth.blockscout.com/tx/0x2bb4d8e1c5a60a65a76e3e17a06f8a3c63d8c3a9f6d35a4e18d5c1e0a1e5e5e5: message_only,32018,390,just a moment...,8,skip,plain_text,"{""body_not_json_or_html"": 1, ""not_api_like"": 7}","[""challenge_title"", ""vendor:cloudflare"", ""sparse_capture_mostly_noise""]"
