goal,url,source,trace_success,trace_skill_id,has_available_operations,n_operations,error_code,error_message,captured_html_bytes,captured_text_bytes,captured_title,captured_api_calls,captured_intent_verdict,captured_intent_reason
get tripadvisor reviews,https://www.tripadvisor.com/Hotel_Review-g60763-d1218720-Reviews-The_Plaza-New_York_City_New_York.html,live-capture,False,browser-capture,False,0,no_endpoints,No API endpoints or structured DOM data found at https://www.tripadvisor.com/Hotel_Review-g60763-d1218720-Reviews-The_Plaza-New_York_City_New_York.html. The site may require authentication or may not expose machine-readable data from this page.,,,,,,
get booking reviews,https://www.booking.com/hotel/us/the-plaza.html,marketplace,True,Q6X2CKgBWdYXjzNyzy0Xd,True,9,,Found 19 endpoint(s). Pick one and call POST /v1/skills/Q6X2CKgBWdYXjzNyzy0Xd/execute with params.endpoint_id.,,,,,,
get glassdoor company,https://www.glassdoor.com/Overview/Working-at-OpenAI-EI_IE4373199.htm,live-capture,False,browser-capture,False,0,low_quality_dom_extraction,Structured DOM extraction was rejected for https://www.glassdoor.com/Overview/Working-at-OpenAI-EI_IE4373199.htm: primitive rows only — expected structured records,,,,,,
get indeed jobs,https://www.indeed.com/jobs?q=software+engineer,live-capture,True,i-v2m9acGVEdkIO7gMVqZ,True,3,,Found 6 endpoint(s). Pick one and call POST /v1/skills/i-v2m9acGVEdkIO7gMVqZ/execute with params.endpoint_id.,,,,,,
get zillow listing,https://www.zillow.com/homes/for_sale/San-Francisco-CA/,live-capture,False,browser-capture,False,0,no_endpoints,No API endpoints or structured DOM data found at https://www.zillow.com/homes/for_sale/San-Francisco-CA/. The site may require authentication or may not expose machine-readable data from this page.,,,,,,
get yelp business,https://www.yelp.com/biz/the-house-san-francisco,live-capture,False,browser-capture,False,0,no_endpoints,No API endpoints or structured DOM data found at https://www.yelp.com/biz/the-house-san-francisco. The site may require authentication or may not expose machine-readable data from this page.,,,,,,
get realtor listing,https://www.realtor.com/realestateandhomes-search/San-Francisco_CA,live-capture,False,browser-capture,False,0,no_endpoints,No API endpoints or structured DOM data found at https://www.realtor.com/realestateandhomes-search/San-Francisco_CA. The site may require authentication or may not expose machine-readable data from this page.,,,,,,
get kdp product,https://www.amazon.com/dp/B07P8XF4C7,marketplace,True,k9Nijz7A3vEpxQP2NXyTK,True,2,,Found 3 endpoint(s). Pick one and call POST /v1/skills/k9Nijz7A3vEpxQP2NXyTK/execute with params.endpoint_id.,,,,,,
get expedia hotel,https://www.expedia.com/San-Francisco-Hotels.d178326.Travel-Guide-Hotels,live-capture,True,VxjBU8yac0h0u73Tm4FAw,True,3,,Found 4 endpoint(s). Pick one and call POST /v1/skills/VxjBU8yac0h0u73Tm4FAw/execute with params.endpoint_id.,,,,,,
get kayak flights,https://www.kayak.com/flights/SFO-NYC/2026-05-01,live-capture,True,mRuBte027rcpL3Qk2cqTO,True,3,,Found 16 endpoint(s). Pick one and call POST /v1/skills/mRuBte027rcpL3Qk2cqTO/execute with params.endpoint_id.,,,,,,
