scenario_id,class,url,mutation_expected,resolve_exit_code,resolve_latency_sec,resolve_error,skill_id,endpoint_id,execute_attempted,execute_exit_code,execute_latency_sec,execute_error,chain_success,resolve_stdout_sample,execute_stdout_sample
L01,gov_portal,https://www.irs.gov,no,0,2.009,,HasWbmMInGmr-p62bkoxd,3ODvqOUhprhPY0zTOgA3Q,yes,0,1.141,,yes,"{   ""trace"": {     ""trace_id"": ""udZivV8Q3z4AvBfVTUdt1"",     ""skill_id"": ""HasWbmMInGmr-p62bkoxd"",     ""endpoint_id"": ""3ODvqOUhprhPY0zTOgA3Q"",     ""success"": true,     ""status_code"": 200,     ""trace_version"": ""9c8c8e5af409@unknown""   },   ""re","{   ""trace"": {     ""trace_id"": ""qiwXVs7QAr9MU8Yd4otpM"",     ""skill_id"": ""HasWbmMInGmr-p62bkoxd"",     ""endpoint_id"": ""3ODvqOUhprhPY0zTOgA3Q"",     ""success"": true,     ""status_code"": 200,     ""trace_version"": ""9c8c8e5af409@unknown""   },   ""re"
L02,gov_portal,https://www.uscis.gov,no,0,0.988,,gY7zBjK2TODK6UHE4yVLH,0ZlqiSVZj3w0KpOIpF88K,yes,0,0.896,,yes,"{   ""trace"": {     ""trace_id"": ""lcnMFrbZm5RIbUw-KH3Kj"",     ""skill_id"": ""gY7zBjK2TODK6UHE4yVLH"",     ""endpoint_id"": ""0ZlqiSVZj3w0KpOIpF88K"",     ""success"": true,     ""status_code"": 200,     ""trace_version"": ""9c8c8e5af409@unknown""   },   ""re","{   ""trace"": {     ""trace_id"": ""JokC7vq5sv-Mv8J14vNSD"",     ""skill_id"": ""gY7zBjK2TODK6UHE4yVLH"",     ""endpoint_id"": ""0ZlqiSVZj3w0KpOIpF88K"",     ""success"": true,     ""status_code"": 200,     ""trace_version"": ""9c8c8e5af409@unknown""   },   ""re"
L03,gov_portal,https://www.ssa.gov,no,0,1.341,,y_TcpNODmMjuLYYk24WLS,dZVl6tPAiCWIvyRV6wTHM,yes,0,1.201,,yes,"{   ""trace"": {     ""trace_id"": ""hFhtXPiiF8lrHFjmjbMct"",     ""skill_id"": ""y_TcpNODmMjuLYYk24WLS"",     ""endpoint_id"": ""dZVl6tPAiCWIvyRV6wTHM"",     ""success"": true,     ""status_code"": 200,     ""trace_version"": ""9c8c8e5af409@unknown""   },   ""re","{   ""trace"": {     ""trace_id"": ""o2pEap1y50sMuqqaSVAX3"",     ""skill_id"": ""y_TcpNODmMjuLYYk24WLS"",     ""endpoint_id"": ""dZVl6tPAiCWIvyRV6wTHM"",     ""success"": true,     ""status_code"": 200,     ""trace_version"": ""9c8c8e5af409@unknown""   },   ""re"
L04,healthcare_portal,https://www.mychart.org,no,0,0.963,,qBx2eqGWt7htUDWI1WqTK,Xq-3hYGFAEUyBXe690uyf,yes,0,0.809,,yes,"{   ""result"": [     {       ""title"": ""Make login easy with MyChart Central"",       ""link"": ""/MyChart-Central-Learn-More"",       ""url"": ""/MyChart-Central-Learn-More"",       ""image"": ""/Images/Home/FG-Guy-With-Orgs.png""     },     {       ""tit","{   ""trace"": {     ""trace_id"": ""oHT9btXDtwKEGZH9MnV4N"",     ""skill_id"": ""qBx2eqGWt7htUDWI1WqTK"",     ""endpoint_id"": ""Xq-3hYGFAEUyBXe690uyf"",     ""started_at"": ""2026-03-18T08:12:58.434Z"",     ""completed_at"": ""2026-03-18T08:12:58.587Z"",     """
L05,education_platform,https://www.instructure.com/canvas,no,0,0.989,,alwSEcAf6qBEgchWNY72q,165-A1KXtrSQONXD_Zd1Q,yes,0,0.906,,yes,"{   ""trace"": {     ""trace_id"": ""weQSu-7sg5EH8isOT3R0F"",     ""skill_id"": ""alwSEcAf6qBEgchWNY72q"",     ""endpoint_id"": ""165-A1KXtrSQONXD_Zd1Q"",     ""success"": true,     ""status_code"": 200,     ""trace_version"": ""9c8c8e5af409@unknown""   },   ""re","{   ""trace"": {     ""trace_id"": ""YjiEDp0TDGWk9n1WECWLU"",     ""skill_id"": ""alwSEcAf6qBEgchWNY72q"",     ""endpoint_id"": ""165-A1KXtrSQONXD_Zd1Q"",     ""success"": true,     ""status_code"": 200,     ""trace_version"": ""9c8c8e5af409@unknown""   },   ""re"
L06,education_platform,https://www.blackboard.com,no,0,1.709,,g7_DyDAiu5A5eJsNSd0Kh,JU8VLv9YggKRTxbfUGfNj,yes,0,1.042,,yes,"{   ""result"": [     {       ""title"": ""Get the Guide"",       ""url"": ""/paper/title-ii-strategy-guide-and-playbook"",       ""image"": ""/imgs/now/title-ii-callout.webp""     }   ],   ""trace"": {     ""trace_id"": ""LepnRLVXXFgNXOTmOsdfr"",     ""skill_i","{   ""trace"": {     ""trace_id"": ""0zbL7MJyCsfbaRtMjVmji"",     ""skill_id"": ""g7_DyDAiu5A5eJsNSd0Kh"",     ""endpoint_id"": ""JU8VLv9YggKRTxbfUGfNj"",     ""success"": true,     ""status_code"": 200,     ""trace_version"": ""9c8c8e5af409@unknown""   },   ""re"
L07,smb_commerce,https://gymshark.com,no,0,8.0,,browser-capture,browser-capture,yes,0,6.5,no_endpoints,no,,
L08,smb_commerce,https://bluebottlecoffee.com,no,0,8.0,,browser-capture,browser-capture,yes,0,6.5,no_endpoints,no,,
L09,legacy_cms,https://www.aljazeera.com,no,0,1.387,,CytUI3AVQsUx9GI6_9nmW,y5EfA2sUG6pJtBjbUEaD6,yes,0,0.869,,yes,"{   ""trace"": {     ""trace_id"": ""N0kOCgFEDU2F1frUS8Sa8"",     ""skill_id"": ""CytUI3AVQsUx9GI6_9nmW"",     ""endpoint_id"": ""y5EfA2sUG6pJtBjbUEaD6"",     ""success"": true,     ""status_code"": 200,     ""trace_version"": ""9c8c8e5af409@unknown""   },   ""re","{   ""trace"": {     ""trace_id"": ""WQ0LRM3_Re6xMYfKEsNGi"",     ""skill_id"": ""CytUI3AVQsUx9GI6_9nmW"",     ""endpoint_id"": ""y5EfA2sUG6pJtBjbUEaD6"",     ""success"": true,     ""status_code"": 200,     ""trace_version"": ""9c8c8e5af409@unknown""   },   ""re"
L10,legacy_cms,https://www.npr.org,no,0,1.635,,WDk60cGGIGYgZn8sqgGa1,jNVwMIFXVfnCuQzEQCKQS,yes,0,1.193,,yes,"{   ""trace"": {     ""trace_id"": ""3AwV3m3KvqJ8qfMWFXS7u"",     ""skill_id"": ""WDk60cGGIGYgZn8sqgGa1"",     ""endpoint_id"": ""jNVwMIFXVfnCuQzEQCKQS"",     ""success"": true,     ""status_code"": 200,     ""trace_version"": ""9c8c8e5af409@unknown""   },   ""re","{   ""trace"": {     ""trace_id"": ""OEMEKRy-uzXHzu5zCYA1e"",     ""skill_id"": ""WDk60cGGIGYgZn8sqgGa1"",     ""endpoint_id"": ""jNVwMIFXVfnCuQzEQCKQS"",     ""success"": true,     ""status_code"": 200,     ""trace_version"": ""9c8c8e5af409@unknown""   },   ""re"
L11,international_site,https://www.asahi.com,no,0,2.567,,9srvmj0HOJR8m0mqeg-ez,KTbPJ8dQa15pGV6eXS6Mo,yes,0,1.668,,yes,"{   ""trace"": {     ""trace_id"": ""Jgu7mZo0xLTDVc8vACOcD"",     ""skill_id"": ""9srvmj0HOJR8m0mqeg-ez"",     ""endpoint_id"": ""KTbPJ8dQa15pGV6eXS6Mo"",     ""success"": true,     ""status_code"": 200,     ""trace_version"": ""9c8c8e5af409@unknown""   },   ""re","{   ""trace"": {     ""trace_id"": ""3Qc-16d_Vdhg7lo6pmVQf"",     ""skill_id"": ""9srvmj0HOJR8m0mqeg-ez"",     ""endpoint_id"": ""KTbPJ8dQa15pGV6eXS6Mo"",     ""success"": true,     ""status_code"": 200,     ""trace_version"": ""9c8c8e5af409@unknown""   },   ""re"
L12,international_site,https://www.faz.net,no,0,1.832,,OiBhA1Jl2eX_CShuwY-AV,nWy0rYcJ5FuGN8u1lZHj4,yes,0,1.253,,yes,"{   ""trace"": {     ""trace_id"": ""asHXUkscUOgp6sBh108-B"",     ""skill_id"": ""OiBhA1Jl2eX_CShuwY-AV"",     ""endpoint_id"": ""nWy0rYcJ5FuGN8u1lZHj4"",     ""success"": true,     ""status_code"": 200,     ""trace_version"": ""9c8c8e5af409@unknown""   },   ""re","{   ""trace"": {     ""trace_id"": ""fhskT4M77hqp4vOizE79O"",     ""skill_id"": ""OiBhA1Jl2eX_CShuwY-AV"",     ""endpoint_id"": ""nWy0rYcJ5FuGN8u1lZHj4"",     ""success"": true,     ""status_code"": 200,     ""trace_version"": ""9c8c8e5af409@unknown""   },   ""re"
L13,international_site,https://g1.globo.com,no,0,8.0,,browser-capture,browser-capture,yes,0,6.5,no_endpoints,no,,
L14,travel_booking,https://www.ryanair.com,yes,0,8.0,,browser-capture,browser-capture,yes,0,6.5,no_endpoints,no,,
L15,travel_booking,https://www.thetrainline.com,yes,0,8.0,,browser-capture,browser-capture,yes,0,6.5,no_endpoints,no,,
L16,travel_booking,https://www.booking.com,no,0,8.0,,browser-capture,browser-capture,yes,0,6.5,no_endpoints,no,,
L17,regional_ticketing,https://www.seetickets.com,yes,0,1.231,,wzX8l_pR8a0oouRGBHXAL,_uykV4_eUk5toLM-AEF2t,yes,0,1.134,,yes,"{   ""trace"": {     ""trace_id"": ""S9G36zLp30MGUrWVkzA_n"",     ""skill_id"": ""wzX8l_pR8a0oouRGBHXAL"",     ""endpoint_id"": ""_uykV4_eUk5toLM-AEF2t"",     ""success"": true,     ""status_code"": 200,     ""trace_version"": ""9c8c8e5af409@unknown""   },   ""re","{   ""trace"": {     ""trace_id"": ""q1EYU6cNYrBz_S-3ppLSD"",     ""skill_id"": ""wzX8l_pR8a0oouRGBHXAL"",     ""endpoint_id"": ""_uykV4_eUk5toLM-AEF2t"",     ""success"": true,     ""status_code"": 200,     ""trace_version"": ""9c8c8e5af409@unknown""   },   ""re"
L18,regional_ticketing,https://www.axs.com,yes,0,8.0,,browser-capture,browser-capture,yes,0,6.5,no_endpoints,no,,
L19,regional_ticketing,https://www.dice.fm,no,0,1.459,,tU7IwzInHCzE8F5DBvEWB,1Tt_E418Z9ZWJ6Ch-Jr2w,yes,0,0.968,,yes,"{   ""result"": {     ""doc"": {       ""id"": ""Z6tK5xIAAC4Acu_D"",       ""uid"": ""homepage"",       ""url"": null,       ""type"": ""b2b_post"",       ""href"": ""https://dicewebsite.cdn.prismic.io/api/v2/documents/search?ref=aZ2E4BIAAC4AlWpV&q=%5B%5B%3Ad+%","{   ""trace"": {     ""trace_id"": ""DE8af4VpTmIAU-pGgkuO8"",     ""skill_id"": ""tU7IwzInHCzE8F5DBvEWB"",     ""endpoint_id"": ""1Tt_E418Z9ZWJ6Ch-Jr2w"",     ""started_at"": ""2026-03-18T08:15:01.709Z"",     ""completed_at"": ""2026-03-18T08:15:01.970Z"",     """
L20,finance_portal,https://www.marketwatch.com,no,0,1.117,,YRNj33rXrgnI9gqPlHUKY,jhR9FM8eeHVjwM_tzLwB0,yes,0,0.979,,yes,"{   ""trace"": {     ""trace_id"": ""Pa_dbfkVlc5NzsqwXSfzg"",     ""skill_id"": ""YRNj33rXrgnI9gqPlHUKY"",     ""endpoint_id"": ""jhR9FM8eeHVjwM_tzLwB0"",     ""success"": true,     ""status_code"": 200,     ""trace_version"": ""9c8c8e5af409@unknown""   },   ""re","{   ""trace"": {     ""trace_id"": ""NiqT-j9duVMqfVwRkZJEg"",     ""skill_id"": ""YRNj33rXrgnI9gqPlHUKY"",     ""endpoint_id"": ""jhR9FM8eeHVjwM_tzLwB0"",     ""success"": true,     ""status_code"": 200,     ""trace_version"": ""9c8c8e5af409@unknown""   },   ""re"
